n21g60b10.001

VEHICLE
NUMBER     CAPACITY
  1        10000

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

      0       73         72          0           0      1847            0
      1       62         37          1        1342      1575            0
      2       75         56          1        1003      1220            0
      3       16         93          1         726       898            0
      4       36         91          1         341       536            0
      5       32        111          1         125       256            0
      6       56         74          1         356       628            0
      7       32         34          1         437       670            0
      8       83         63          1         181       349            0
      9       82         69          1         792      1003            0
     10       35         18          1         915      1037            0
     11       39          0          1        1033      1225            0
     12        4         71          1         532       723            0
     13       96         75          1         205       431            0
     14       14         99          1        1100      1261            0
     15       49          8          1         688       927            0
     16       33         75          1        1479      1715            0
     17       75         65          1        1428      1612            0
     18        0         67          1        1324      1544            0
     19       56         36          1        1048      1184            0
     20       32          6          1         741      1017            0
